epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8512.48,0.94336,1.06031,1.15061,0.45593,0.35276,0.3134,0.18051,1.29577,2.14558,1.54253,0.0005941,0.0005941,0.0005941
43,8659.05,0.90357,1.01274,1.13613,0.44135,0.37345,0.3432,0.20692,1.32677,2.03305,1.52589,0.0005842,0.0005842,0.0005842
44,8802.78,0.94501,1.08647,1.15749,0.45455,0.34082,0.32418,0.20139,1.32095,2.3545,1.5414,0.0005743,0.0005743,0.0005743
45,8948.98,0.92795,1.00122,1.13506,0.38416,0.37334,0.32225,0.18827,1.31623,2.37341,1.57725,0.0005644,0.0005644,0.0005644
46,9093.49,0.88109,0.96888,1.12576,0.35656,0.34007,0.32288,0.19182,1.28468,2.31778,1.5948,0.0005545,0.0005545,0.0005545
47,9240.37,0.91771,0.98459,1.1404,0.36768,0.30636,0.31443,0.19476,1.31304,2.47077,1.58683,0.0005446,0.0005446,0.0005446
48,9386.4,0.87151,0.87626,1.10346,0.28065,0.36746,0.30123,0.17944,1.34533,2.33092,1.57717,0.0005347,0.0005347,0.0005347
49,9536.56,0.9168,0.91776,1.15119,0.31014,0.36447,0.31707,0.20114,1.2899,2.25457,1.51845,0.0005248,0.0005248,0.0005248
50,9683.22,0.86254,0.90874,1.107,0.41781,0.31426,0.32634,0.21213,1.23569,2.16325,1.48329,0.0005149,0.0005149,0.0005149
51,9827.75,0.87886,0.92041,1.12996,0.51925,0.28077,0.32173,0.19216,1.27346,2.22684,1.55338,0.000505,0.000505,0.000505
52,9972.22,0.82462,0.92368,1.11593,0.35794,0.25007,0.27707,0.17627,1.28559,2.47892,1.54391,0.0004951,0.0004951,0.0004951
53,10122.2,0.8473,0.89861,1.0918,0.30278,0.30199,0.28605,0.18059,1.2178,2.44535,1.49857,0.0004852,0.0004852,0.0004852
54,10267.3,0.83969,0.86187,1.09101,0.39672,0.24877,0.29903,0.19313,1.26257,2.5723,1.56296,0.0004753,0.0004753,0.0004753
55,10412.9,0.79221,0.83341,1.08965,0.24377,0.42012,0.29206,0.18133,1.26482,2.53524,1.52949,0.0004654,0.0004654,0.0004654
56,10558.4,0.84175,0.83935,1.08381,0.39596,0.34088,0.29102,0.17233,1.30328,2.68419,1.54541,0.0004555,0.0004555,0.0004555
57,10701.3,0.84365,0.8576,1.09643,0.30876,0.29664,0.25781,0.15172,1.31615,2.71355,1.57544,0.0004456,0.0004456,0.0004456
58,10846.3,0.77477,0.80933,1.04692,0.37435,0.35086,0.26444,0.16126,1.29486,2.5395,1.55519,0.0004357,0.0004357,0.0004357
59,10994.7,0.82515,0.79936,1.08071,0.26828,0.40969,0.28375,0.18093,1.2431,2.42121,1.50841,0.0004258,0.0004258,0.0004258
60,11140.7,0.79977,0.81161,1.07792,0.41168,0.33834,0.30592,0.19334,1.26939,2.47255,1.46202,0.0004159,0.0004159,0.0004159
61,11287.8,0.77506,0.77138,1.05679,0.38516,0.42028,0.31327,0.19795,1.23735,2.42391,1.47057,0.000406,0.000406,0.000406
62,11430.5,0.77916,0.79236,1.07297,0.45683,0.33587,0.29855,0.19053,1.22092,2.42062,1.51307,0.0003961,0.0003961,0.0003961
63,11576,0.77779,0.77138,1.06134,0.37824,0.34786,0.30322,0.19029,1.21125,2.3978,1.51605,0.0003862,0.0003862,0.0003862
64,11726.5,0.77111,0.78404,1.05533,0.39164,0.28052,0.31015,0.19842,1.28345,2.30034,1.56694,0.0003763,0.0003763,0.0003763
65,11872.1,0.76199,0.74172,1.05775,0.3983,0.26883,0.30911,0.20642,1.27484,2.34519,1.54514,0.0003664,0.0003664,0.0003664
66,12019.9,0.77077,0.7525,1.08548,0.27847,0.31927,0.27305,0.1698,1.22169,2.61271,1.48304,0.0003565,0.0003565,0.0003565
67,12166.6,0.77312,0.75036,1.07108,0.33915,0.29626,0.29905,0.18407,1.19149,2.61394,1.46774,0.0003466,0.0003466,0.0003466
68,12318.4,0.74213,0.71532,1.03825,0.26618,0.43304,0.28749,0.17402,1.19708,2.36479,1.50087,0.0003367,0.0003367,0.0003367
69,12470.4,0.76177,0.7439,1.04467,0.28646,0.40067,0.28929,0.17674,1.22823,2.31807,1.53196,0.0003268,0.0003268,0.0003268
70,12620.1,0.79451,0.81533,1.08498,0.30842,0.43834,0.30219,0.18933,1.20646,2.27682,1.50461,0.0003169,0.0003169,0.0003169
71,12781.7,0.74595,0.724,1.03502,0.27799,0.36164,0.31348,0.18921,1.28461,2.32975,1.52932,0.000307,0.000307,0.000307
